supplier_id,supplier_name,country,lead_time_days,rating
1,Tech Distributors Pvt Ltd,Vietnam,12,3.7
2,Smart Electronics India,Vietnam,6,4.9
3,Future Retail Supply,Japan,2,4.8
4,Vision Supply Co.,South Korea,6,4.9
5,Elite Components,China,8,4.9
6,National Traders,Vietnam,5,3.6
7,Prime Wholesale,China,10,4.9
8,Digital World Suppliers,China,9,3.9
9,Modern Electronics,Japan,11,3.5
10,Global Supply Hub,India,11,4.0
11,Shree Enterprises,South Korea,11,4.4
12,Apex Distribution,South Korea,7,4.8
13,Infinity Traders,Japan,5,3.6
14,Reliable Suppliers,Vietnam,6,3.9
15,SuperTech Wholesale,South Korea,4,4.5
16,Bright India Supply,Japan,2,3.9
17,Vertex Distributors,Japan,3,4.9
18,NextGen Supplies,Japan,2,3.9
19,Metro Traders,Vietnam,6,3.6
20,Universal Electronics,Japan,12,4.1
